depth	min	max	median	wmean
1.5	-63.8	14	-28	-26.8
7.5	44.3	123.3	83.6	84.2
10.5	90.2	185.3	139.6	139.6
13.5	135.2	249.3	195.2	194.9
16.5	179.8	314.7	250.3	250.2
19.5	223.7	380.9	305.5	305.6
22.5	267	448.7	360.3	361
25.5	309.7	517	415.4	416.5
28.5	352.5	585.2	470.4	471.9
31.5	394.7	654	524.9	527.4
32.5	409	676.7	543.4	545.8
33.5	423.6	700.1	562	564.4
35.5	450.9	745.8	598.8	601.3
36.5	464.8	768.6	617.1	619.7
37.5	478.9	791.6	635.5	638.2
38.5	492.9	815.3	653.9	656.8
39.5	507.1	838.4	672.3	675.3
40.5	520.9	861.5	690.7	693.7
41.5	534.4	884.1	709.2	712.1
42.5	548.2	907.5	727.5	730.6
43.5	562.2	930.5	746	749.1
44.5	575.9	953.1	764.6	767.7
45.5	590.1	976.3	783	786.1
46.5	605	999.3	801.4	804.6
47.5	619.2	1022.6	819.9	823
48.5	633.2	1045.6	838.2	841.5
49.5	646.7	1069.1	856.3	859.9
50.5	692.8	1115.3	901.9	905.7
51.5	769.3	1184.1	975.3	978.6
52.5	845.7	1253.3	1047.9	1051.5
53.5	923.4	1323.1	1120.7	1124.4
54.5	1000.3	1391.4	1193.2	1197.2
55.5	1077.3	1460.7	1265.9	1270.1
56.5	1153.7	1530.7	1338.6	1342.9
57.5	1229.4	1599.6	1411	1415.8
58.5	1305.7	1669.6	1483.3	1488.8
59.5	1381.8	1736.6	1555.4	1561.6
60.5	1459.1	1807.6	1627.7	1634.5
61.5	1534.7	1875.9	1699.2	1707.2
62.5	1610.7	1945.7	1771.1	1780
63.5	1686.3	2016.2	1843.2	1852.9
65.5	1838.5	2154.2	1986.7	1998.4
67.5	1989.1	2294.7	2130.3	2144.1
68.5	2063.8	2364.6	2202.4	2216.8
70.5	2214.9	2506.8	2347	2362.5
72.5	2364.7	2651.9	2491.6	2508.2
73.5	2439.6	2725.9	2564	2581.1
75.5	2589.4	2874.6	2708.6	2727
77.5	2738.7	3024	2853.7	2873
79.5	2883.4	3175.3	2998.8	3019
80.5	2957.8	3250.4	3071.4	3091.9
81.5	3030.5	3325.8	3143.6	3164.8
82.5	3101.6	3401.6	3216.3	3237.9
83.5	3172.1	3478.4	3288.9	3310.7
84.5	3242.4	3554.9	3361.2	3383.9
86.5	3383.3	3707.8	3506.1	3529.6
87.5	3452.8	3785.3	3578.9	3602.8
88.5	3524.7	3862.7	3651.5	3675.9
89.5	3593.8	3939	3724.1	3748.7
90.5	3665.9	4016.4	3796.1	3821.5
91.5	3735.5	4093.6	3869	3894.5
92.5	3805.2	4170.6	3941.4	3967.4
93.5	3876.5	4248.5	4013.9	4040.3
94.5	3946.8	4325.8	4086.1	4113.2
95.5	4017	4403.2	4158.3	4186.3
96.5	4085.5	4481	4230.7	4259.1
97.5	4154.8	4559.1	4303.4	4332.1
98.5	4223.9	4636.8	4375.6	4404.9
99.5	4292.1	4716.2	4448.3	4477.7
100.5	4350.7	4772.2	4505.9	4534.9
101.5	4396.7	4807.1	4547.7	4576.1
102.5	4443.1	4844	4590	4617.2
103.5	4488.4	4880.2	4632.6	4658.4
104.5	4534.7	4915.8	4674.5	4699.6
105.5	4581.6	4950.1	4716.6	4740.7
106.5	4625.9	4985.7	4758.6	4781.8
107.5	4672.9	5021.4	4801.1	4823.1
108.5	4718.6	5057.5	4843.2	4864.3
109.5	4764	5093.1	4885.4	4905.4
110.5	4810.8	5129.7	4927.3	4946.6
111.5	4857.9	5165.9	4969.2	4987.6
112.5	4903.8	5201.9	5011.3	5028.8
113.5	4949.6	5237.9	5053.2	5070.1
114.5	4996.3	5274	5095.9	5111.3
115.5	5041.4	5310.3	5137.9	5152.3
116.5	5088.4	5346.5	5180.1	5193.6
117.5	5134.3	5382.5	5222	5234.7
118.5	5180.9	5418.4	5264.5	5275.9
119.5	5225.9	5454.7	5306.7	5317.2
120.5	5272.5	5491.4	5348.6	5358.2
121.5	5317.3	5527.7	5390.8	5399.6
122.5	5362	5564.5	5432.5	5440.7
123.5	5407.4	5601.3	5474.2	5482
124.5	5450.2	5637.3	5516	5523.1
125.5	5495.3	5673.3	5557.4	5564.3
126.5	5537.5	5709.6	5599.1	5605.4
127.5	5580.1	5746.2	5640.9	5646.6
128.5	5619.1	5782.6	5682.9	5687.8
129.5	5658.3	5819.3	5724.9	5729
130.5	5694.6	5855.7	5767.5	5770.1
131.5	5730.9	5892	5809.9	5811.3
132.5	5766.8	5928.6	5852.4	5852.4
133.5	5802.6	5965.1	5895.2	5893.5
134.5	5838.2	6002.9	5937.7	5934.8
135.5	5873.5	6041.6	5980.2	5975.9
136.5	5908.3	6081.8	6023.1	6017.2
137.5	5944.1	6122.8	6065.7	6058.4
138.5	5979	6165.6	6108.4	6099.7
139.5	6014.3	6209.9	6151	6140.8
140.5	6049.2	6255.4	6193.8	6182.1
141.5	6083.6	6300.1	6236.2	6223.2
142.5	6118.3	6345.9	6278.5	6264.4
143.5	6153.7	6390.8	6320.3	6305.6
144.5	6188.2	6436	6361.9	6346.6
145.5	6222.7	6480.8	6403.3	6387.8
