sitenumber,sitename,depth,cal age,beech,birch,chestnut,hemlock,hickory,maple,oak,pine,spruce,other
1,aino,1,-41.4618,22,162,2,38,6,18,139,82,10,30
1,aino,3,-34.3854,39,160,5,64,2,18,121,62,10,43
1,aino,5,-27.309,43,187,5,46,8,27,92,71,14,39
1,aino,7,-20.2326,26,164,8,57,8,15,153,74,11,33
1,aino,9,-13.1562,37,187,11,57,1,17,115,75,12,39
1,aino,11,-6.0798,38,151,5,50,2,11,112,93,11,38
1,aino,13,0.9966,26,191,9,49,5,28,113,73,6,52
1,aino,15,8.073,46,187,6,26,2,17,141,77,11,42
1,aino,17,15.1494,32,199,11,50,0,14,124,65,13,57
1,aino,19,22.2258,43,207,11,44,3,17,98,83,10,45
1,aino,21,29.3022,49,194,11,57,2,12,107,71,21,43
1,aino,23,36.3786,26,187,9,61,2,20,122,85,13.5,39.5
1,aino,25,43.455,29,194,11,63,5,17,98,82,12,39
1,aino,27,50.5314,46,164,12,47,3,25,103,100,11,38
1,aino,29,57.6078,40,162,10,46,8,15,92,96,8,33
1,aino,31,64.6842,34,188,11,47,3,12,115,79,22,49
1,aino,33,71.7606,38,179,6,40,3,24,106,100,18,43
1,aino,35,98.425,43,144,12,60,0,22,116,106,12.5,34.5
1,aino,37,144.659,44,138,3,98,5,14,80,117,21.5,39.5
1,aino,39,190.893,38,125,15,89,5,23,175,109,10.5,31.5
1,aino,41,226.021,65,90,11,95,5,28,104,82,10,41
1,aino,43,250.063,50,129,20,95,3,12,96,93,19,51
1,aino,45,274.105,67,151,5,87,5,8,101,86,17,41
1,aino,47,298.147,69,104,17,95,5,15,107,54,21,50
1,aino,49,322.189,61,133,5,118,3,13,95,79,14,41
1,aino,51,346.231,67,138,3,92,8,14,115,61,9,32
1,aino,53,370.273,60,147,8,96,5,18,92,66,16,39
1,aino,55,394.315,58,132,11,113,2,10,99,63,39,65
1,aino,57,418.357,63,121,12,115,0,22,90,75,11,40
1,aino,59,442.399,64,130,12,122,0,17,75,42,21,56
1,aino,61,466.441,61,147,6,93,9,11,92,93,18,45
1,aino,63,490.483,93,113,6,84,6,8,73,75,26.5,56.5
1,aino,65,514.525,78,181,0,77,2,18,73,59,21.5,54.5
1,aino,67,538.567,81,138,8,115,5,8,80,74,25.5,58.5
1,aino,69,562.609,89,132,8,142,3,17,66,59,30,55
1,aino,71,586.651,92,125,6,122,9,11,69,63,19,44
1,aino,73,610.693,107,115,3,115,0,20,52,54,34,62
1,aino,75,634.735,67,115,9,118,3,23,54,77,26.5,51.5
1,aino,77,658.777,110,104,5,107,3,22,63,59,13.5,45.5
1,aino,79,685.257,122,96,2,124,5,6,64,54,35.5,47.5
1,aino,81,714.223,107,129,12,98,6,15,84,57,19.5,43.5
1,aino,83,743.189,113,109,3,115,3,14,80,45,23.5,48.5
1,aino,85,772.155,119,107,3,114,2,9,65,59,20,45
1,aino,87,801.121,104,128,5,110,6,10,70,45,20.5,39.5
1,aino,89,830.087,98,93,6,116,3,17,78,59,35.5,53.5
1,aino,91,858.728,116,115,3,119,11,13,64,48,24.5,41.5
1,aino,93,887.064,86,88,6,166,6,8,91,39,24.5,38.5
1,aino,102,1014.576,110,88,2,147,5,21,78,46,12,30
1,aino,104,1042.912,119,86,2,141,5,17,70,44,18.5,37.5
1,aino,106,1071.248,102,84,3,119,6,23,76,50,39,57
1,aino,108,1099.584,112,82,0,149,5,14,78,47,18,35
1,aino,110,1142.12,110,83,3,129,6,11,90,46,26,50
1,aino,112,1198.584,132,98,5,114,10,15,78,26,20.5,40.5
1,aino,114,1255.048,99,110,6,116,6,10,93,43,18,37
1,aino,116,1311.512,110,104,7,113,3,16,75,42,33,58
1,aino,118,1367.976,113,92,5,150,2,14,63,43,28,48
1,aino,120,1424.44,111,101,2,121,7,11,75,47.5,7.5,23.5
1,aino,124,1537.368,145,77,3,102,10,17,63,48.5,13,28
1,aino,128,1650.296,159,87,1,103,5,9,63,38.5,10,23
1,aino,132,1763.224,141,79,1,129,5,9,54,44,9.5,24.5
1,aino,136,1876.152,123,78,1,142,4,6,69,54.5,15.5,29.5
1,aino,140,1989.08,126,71,0,149,7,14,58,71.5,5.5,23.5
1,aino,144,2102.008,108,75,0,159,4,11,64,71,12,34
1,aino,148,2214.936,135,95,2,128,6,15,83,58,5,23
1,aino,152,2327.864,106,90,3,169,4,15,69,53,6,25
1,aino,156,2440.792,111,87,4,126,2,15,76,49.5,11.5,30.5
1,aino,160,2553.72,116,96,1,124,6,16,66,55,6,25
1,aino,164,2666.648,111,107,2,143,2,17,73,67.5,7,22
1,aino,168,2779.576,128,79,0,141,6,6,60,51.5,4,24
1,aino,172,2892.504,121,98,1,113,13,10,69,57.5,5,28
1,aino,176,3005.432,131,77,0,138,4,16,55,44,5.5,26.5
1,aino,180,3118.36,131,75,2,116,7,12,73,70.5,3,19
1,aino,184,3231.288,143,85,0,157,6,11,58,61.5,3,13
1,aino,188,3344.216,150,78,0,131,5,17,66,84.5,3,25
1,aino,200,3683,144,59,1,128,3,18,63,69,5,15
1,aino,204,3795.928,132,52,1,126,6,11,62,82.5,3,19
1,aino,208,3908.856,140,53,1,126,5,13,60,65.5,5.5,16.5
2,benson,0,-54,44,135,0,52,13,16,77,38.5,2,59
2,benson,5,7,35,126,3,32,10,13,53,29,1.5,29
2,benson,10,68,52,159,1,45.5,8,15,62,20.5,5,36
2,benson,15,129,61,182,5,85,12,24,115,28,2,52
2,benson,20,190,75,129,4,97,14,21,63,16.5,2,39
2,benson,25,374.265,45,130,5,119,11,11,110,14,1,35
2,benson,30,558.53,109,140,4,155.5,17,16,77,16.5,4,34.5
2,benson,40,927.06,92,111,3,158.5,19,15,50,20,3,22
2,benson,50,1295.59,67,150,4,142,17,12,79,27,1.5,25
2,benson,60,1664.12,87,83,1,165.5,14,20,67,13,1,29
2,benson,70,2032.65,109,98,0,128.5,9,20,68,19.5,0.5,26
2,benson,80,2401.18,94,103,3,156,2,20,61,17,3,37
2,benson,90,2708.74,62,117,3,163,20,20,50,19,7,51
2,benson,100,2975.69,98,92,1,123.5,10,21,55,24.5,2.5,19
3,BerryW,0,-51,28,167,4,26,19,16,140,53,6,52
3,BerryW,4,-41.25,44,160,1,20,13,8,153,44.5,2,43
3,BerryW,8,-31.5,44,149,4,35,6,19,132,61.5,6.5,58
