sitenumber,sitename,BEECH,BIRCH,CHESTNUT,HEMLOCK,HICKORY,MAPLE,OAK,PINE,SPRUCE,other
1,Aino,22,162,2,38,6,18,139,82,10,30
2,Benson,44,135,0,52,13,16,77,38.5,2,59
3,Berry W,28,167,4,26,19,16,140,53,6,52
4,Blood,15,132,15,16,22,13,169,69,4,32
5,Doe,16,113,2,18,10,5,209,104,4,28
6,Green,14,106,28,23,4,11,111,76,2.5,33
7,Larkum,10,168,0,62,7,6,117,61,2,51
8,Lily NS,16,55,20,11,7,7,84,34,1,22
9,Lily W,38,176,17,55,6,18,93,87,3.5,23
10,Little Bolton,23,121,3,12,15,11,190,99,2,42
11,Little Mirror,26,86,2,5,3,27,288,61,0,19
12,Little Royalst,15,92,2,39,8,6,61,99,6,16
13,North Round,41,222,21,41,3,17,96,57,10,29
14,North,115,162,2,128,12,21,55,55,10,24
15,Otter,23,194,3,51,10,11,150,71,6,35
16,Pecker,52,111,8,53,6,19,141,105,0,24
17,Pickerel,20,76,2,21,19,5,208,135,6,23
18,Quag,17,224,7,37,4,17,114,48,3,45
19,Silver,20,107,3,21,1,15,176,75,0,28
20,Snake,21,122,0,51,3,16,123,145,5,29
21,Uncas,0,17,0,3,5,2,61,23,1,9
22,Walden,2,48,1,3,17,9,230,164.5,2,28
23,Wickett,22,185,3,23,11,14,164,58,0,17
24,20,6,47,4,3,8,3,95,25,0,6
25,88,7,41,1,7,7,9,134,26,0,13
26,992,8,96,49,15,13,11,120,41,3,35
27,993,21,73,10,32,6,16,38,27,17,24
28,1718,8,106,3,12,0,8,41,57,14,25
29,1721,25,111,0,50,3,16,32,26,6,32
30,1723,1,64,5,1,11,4,113,27,3,10
31,3066,5,177,0,5,15,15,147,59,0,35
32,3067,0,185,0,16,4,8,76,52,4,28
33,3303,16,72,2,12,1,9,67,70,7,25
34,3304,6,45,0,9,3,5,12,11,10,12
35,3305,4,55,1,6,3,13,56,30,4,43
36,3759,6,102,13,13,4,1,50,31,27,13
37,Red Mill,39,315,1,19,9,16,36,34,29,19
38,Beebe,71,203,0,55,6,12,39,37,68,27
