"ID","SITE","GridCell","X","Y","LAT","LON"
1,"Aino",170,751858.9036,4729973.881,42.681,-71.926
2,"Benson",39,656802.1,4693457,42.38,-73.1
3,"Berry W",24,638112.0236,4707217.378,42.505,-73.319
4,"Blood",165,751296.7238,4663125.645,42.08,-71.962
5,"Doe",85,689797.6543,4671762.748,42.175,-72.702
6,"Green",105,704298.5828,4715735.449,42.567,-72.511
7,"Larkum",53,660253.5398,4669917.797,42.165,-73.06
8,"Lily NS",120,718293.6545,4699614.085,42.41814,-72.34681
9,"Lily W",122,718193.8052,4729614.778,42.688057,-72.336563
10,"Little Bolton",216,780714.1888,4702274.066,42.422,-71.588
11,"Little Mirror",201,778523.5471,4713689.673,42.525417,-71.609039
12,"Little Royalst",138,730085.6515,4728548.465,42.675,-72.192
13,"North Round",124,708199.7439,4747085.03,42.848,-72.452
14,"North",58,659512.5741,4723895.825,42.651,-73.054
15,"Otter",106,702204.4249,4725565.986,42.656,-72.533
16,"Pecker",170,748535.5362,4733412.044,42.713,-71.965
17,"Pickerel",117,707820.3139,4671715.71,42.17,-72.484
18,"Quag",169,749774.576,4717221.699,42.567,-71.957
19,"Silver",137,727293.2483,4720214.816,42.600868,-72.22937
20,"Snake",169,744892.3447,4715824.751,42.556,-72.017
21,"Uncas",229,799751.4045,4663087.24,42.062667,-71.377278
22,"Walden",232,801202.9386,4705027.557,42.43907,-71.338
23,"Wickett",121,710837.2159,4714152.369,42.551,-72.432
24,"20",193,768487.7524,4621266.848,41.6979,-71.7735
25,"88",226,796433.737,4631835.949,41.783,-71.433
26,"992",18,642606.9573,4630883.197,41.817,-73.283
27,"993",10,628693.3962,4723143.845,42.65,-73.43
28,"1718",157,732230.2072,4766978.008,43.02,-72.15
29,"1721",63,661729.1466,4793315.836,43.2753,-73.0069
30,"1723",179,757270.4085,4639990.336,41.87,-71.9
31,"3066",134,722562.1032,4686616.407,42.3,-72.3
32,"3067",136,719390.6271,4708747.898,42.5,-72.33
33,"3303",38,652572.5087,4683000.513,42.2843,-73.1495
34,"3304",56,665616,4710965,42.533333,-72.983333 
35,"3305",23,638501.9826,4688351.77,42.3351,-73.3188
36,"3759",137,728614.3225,4710934.505,42.517,-72.217
37,"Red Mill",60,661020.5563452103,4750393.653475438,42.88917,-73.02806
38,"Beebe",45,657609.214762924,4768391.221154231,43.05222,-73.0325
