SITE,PLOT,SUB,TAG,TREEID,NUM,SPP,X,Y,DATE11,DBH11,DBH12,DATE_CORE_COLLECTED11,DATE12,DATE_CORE_COLLECT12,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
H,6,A,1501,H6A1501,1,PRSE2,1.2,0.6,7/10/11,248,247.5,7/10/11,7/2/12,7/2/12,1.94,3.904,3.592,3.43,6.242,5.116,4.796,3.768,3.508,4.44,4.718,2.628,2.876,4.088,4.73,4.866,2.714,2.6,2.602,2.216,2.606,1.74,1.902,2.638,2.862,2.506,2.762,2.214,1.372,1.248
H,6,A,1502,H6A1502,1,ACRU,0.2,2,7/10/11,242,245,7/10/11,7/2/12,7/2/12,1.614,1.816,2.772,2.144,1.936,1.952,1.7,2.398,2.3,3.3,4.078,2.456,2.58,2.394,1.434,2.454,1.162,2.132,1.9,2.774,1.834,2.168,3.648,3.026,4.198,4.132,3.206,1.488,4.208,3.88
H,6,A,1505,H6A1505,1,ACRU,3.9,3.4,7/10/11,167.5,167.5,7/10/11,7/2/12,7/2/12,2.876,3.056,1.832,1.48,3.168,2.85,2.54,1.992,1.79,0.988,1.136,1.328,0.99,1.786,1.496,1.878,1.5,1.734,1.312,0.914,1.644,1.058,1.396,0.762,0.93,0.466,0.866,0.55,0.36,0.466
H,6,A,1506,H6A1506,1,BEAL2,5.7,3.2,7/10/11,172,172,7/10/11,7/2/12,7/2/12,4.158,4.532,5.26,5.63,3.786,2.744,2.452,2.35,2.1,1.906,1.6,1.824,1.698,1.986,3.568,1.958,1.19,1.122,1.916,1.642,1.53,1.608,1.27,2.286,0.97,1.65,0.878,2.056,0.722,1.454
H,6,A,1507,H6A1507,1,TSCA,8.2,5.5,7/10/11,301,304,7/10/11,7/2/12,7/2/12,1.97,1.652,1.642,1.748,1.466,3.85,3.38,3.462,5.082,2.302,3.058,2.526,1.638,1.974,1.544,1.248,1.072,0.888,0.816,0.544,1.44,1.038,3.684,3.402,3.498,2.688,2.746,2.554,2.212,1.392
H,6,A,1508,H6A1508,1,ACRU,12.6,2.1,7/10/11,159.5,161,7/10/11,7/2/12,7/2/12,1.192,1.79,1.126,1.418,1.508,1.11,1.428,1.796,1.902,0.794,0.76,0.632,1.078,0.984,1.046,1.076,0.92,0.92,0.382,0.888,0.888,0.606,0.412,0.792,0.506,0.792,1.396,0.634,0.82,0.626
H,6,A,1513,H6A1513,1,BEAL2,10.8,8.7,7/10/11,306,307,7/10/11,7/2/12,7/2/12,2.702,4.952,3.824,5.96,5.548,4.706,2.85,3.686,4.966,2.47,3.026,5.4,2.156,3.498,3.674,4.37,3.318,2.29,2.584,1.384,1.964,1.562,0.78,1.746,1.864,1.404,3.268,2.964,4.216,4.338
H,6,A,1514,H6A1514,1,TSCA,10.5,9,7/10/11,203,206.5,7/10/11,7/2/12,7/2/12,1.668,3.222,2.778,3.78,3.132,2.772,3.402,2.61,1.988,1.986,1.616,1.138,1.176,1.314,1.1,1.13,0.94,0.99,1.048,1.086,1.636,1.086,0.9,1.446,1.752,1.448,1.646,1.56,1.492,1.206
H,6,A,1517,H6A1517,1,BEAL2,14.1,9,7/10/11,208,211.5,7/10/11,7/2/12,7/2/12,1.996,1.904,2.824,4.792,1.012,2.252,2.442,1.612,2.634,2.094,1.364,4.656,3.366,2.886,4.79,5.184,3.806,3.582,3.012,1.016,3.554,5.204,3.584,1.588,1.778,3.648,3.014,3.51,3.046,1.206
H,6,A,1523,H6A1523,1,TSCA,9.8,11.3,7/10/11,174,175,7/10/11,7/2/12,7/2/12,1.358,1.524,2.178,3.038,3.236,3.198,3.458,3.85,3.802,3.29,2.41,2.73,2.666,2.464,2.396,3.038,2.474,3.54,3.548,3.746,2.726,2.538,2.348,2.73,1.966,1.708,2.286,2.41,1.964,1.97
H,6,A,1525,H6A1525,1,QURU,7.6,14.3,7/10/11,280,283,7/10/11,7/2/12,7/2/12,2.314,1.372,1.642,2.808,2.094,2.974,2.386,2.52,2.076,1.89,1.582,1.84,2.214,1.88,1.454,1.754,2.016,1.518,1.642,2.094,2.454,1.83,2.4,2.14,2.41,2.466,2.632,2.274,2.06,1.716
