.id,site.name,depth,age,age.old,age.young,date.type,lat,long,dataset,x,y,Other.hardwood,Fir,Maple,Birch,Hickory,Cedar.juniper,Beech,Ash,Walnut,Tamarack,Ironwood,Spruce,Pine,Poplar.tulip.poplar,Oak,Basswood,Hemlock,Elm
205,Andrus Lake,0.25,-33,NA,NA,Radiocarbon years BP,46.7,-85.040278,205,863209.432089076,1127463.09342948,18,4,2,22,0,3,1,0,1,0,0,13,167,1,6,0,2,2
205,Andrus Lake,3.25,-22,NA,NA,Radiocarbon years BP,46.7,-85.040278,205,863209.432089076,1127463.09342948,12,3,4,33,0,17,0,1,0,0,2,11,147,2,11,1,6,2
205,Andrus Lake,6.25,-5,NA,NA,Radiocarbon years BP,46.7,-85.040278,205,863209.432089076,1127463.09342948,18,5,4,48,0,8,3,2,0,0,0,27,177,7,11,0,4,5
205,Andrus Lake,10.25,28,NA,NA,Radiocarbon years BP,46.7,-85.040278,205,863209.432089076,1127463.09342948,11,4,2,44,1,20,2,5,0,1,0,11,108,3,10,0,4,2
205,Andrus Lake,10.75,32,NA,NA,Radiocarbon years BP,46.7,-85.040278,205,863209.432089076,1127463.09342948,18,4,5,41,1,17,4,2,0,1,6,18,94,2,11,0,6,5
205,Andrus Lake,11.25,35,NA,NA,Radiocarbon years BP,46.7,-85.040278,205,863209.432089076,1127463.09342948,20,0,8,54,0,13,4,2,0,0,0,20,119,1,18,0,3,3
205,Andrus Lake,11.75,38,NA,NA,Radiocarbon years BP,46.7,-85.040278,205,863209.432089076,1127463.09342948,7,1,3,50,0,14,5,2,0,1,3,7,101,1,15,0,5,0
205,Andrus Lake,12.25,40,NA,NA,Radiocarbon years BP,46.7,-85.040278,205,863209.432089076,1127463.09342948,13,1,7,53,0,16,3,0,0,1,2,17,109,0,17,0,4,3
205,Andrus Lake,15.25,51,NA,NA,Radiocarbon years BP,46.7,-85.040278,205,863209.432089076,1127463.09342948,13,1,5,41,1,8,3,2,0,2,3,12,130,4,14,0,13,4
205,Andrus Lake,16.75,54,NA,NA,Radiocarbon years BP,46.7,-85.040278,205,863209.432089076,1127463.09342948,12,1,3,29,1,26,2,3,1,1,2,16,139,2,13,0,8,7
205,Andrus Lake,18.25,58,NA,NA,Radiocarbon years BP,46.7,-85.040278,205,863209.432089076,1127463.09342948,13,1,6,59,0,17,3,1,0,2,3,17,122,0,12,0,7,1
