.id,site.name,depth,age,age.old,age.young,date.type,lat,long,dataset,x,y,Other.hardwood,Fir,Maple,Birch,Hickory,Cedar.juniper,Beech,Ash,Walnut,Tamarack,Ironwood,Spruce,Pine,Poplar.tulip.poplar,Oak,Basswood,Hemlock,Elm
205,Andrus Lake,40.5,141,NA,NA,Radiocarbon years BP,46.7,-85.040278,205,863209.432089076,1127463.09342948,20,3,6,59,0,14,4,6,0,4,0,14,162,4,9,0,7,1
325,Burntside Lake,21,150,NA,NA,Radiocarbon years BP,47.924167,-91.994722,325,348306.899741792,1297713.69156685,38,9,0,20,0,4,0,0,0,5,3,22,226,6,2,0,3,1
332,Camp 11 Lake,10,192,NA,NA,Radiocarbon years BP,46.666667,-88.016667,332,635928.718785106,1133028.27880558,38,5,8,122,0,8,0,3,1,3,6,33,317,1,17,0,17,8
333,Camp 12 Lake,28.75,124,NA,NA,Radiocarbon years BP,45.986111,-89.375,333,526619.417391358,1064495.48933806,14,0,2,27,1,0,0,2,1,0,4,6,158,0,10,0,9,1
546,Dark Lake,150,148,NA,NA,Radiocarbon years BP,45.275,-91.475,546,356758.938046272,1000213.39674261,156,0,8,109,0,8,0,5,0,1,10,4,75,9,80,1,6,8
774,Dunnigan Lake,49.5,237,NA,NA,Radiocarbon years BP,47.708333,-91.641667,774,372012.252010645,1271015.84349609,23,2,0,42,0,1,0,2,0,4,0,23,140,2,5,0,2,1
982,Green Lake,10,200,NA,NA,Radiocarbon years BP,44.883333,-85.116667,982,852677.801437792,925377.280339732,26,0,47,124,8,3,83,8,3,0,23,1,34,7,49,16,31,58
1134,Hug Lake,41,155,NA,NA,Radiocarbon years BP,47.958333,-90.933333,1134,427498.772250313,1293413.9180913,77,4,1,82,0,16,0,1,0,9,1,56,136,6,10,0,2,0
1151,Iola Bog,90,183,NA,NA,Radiocarbon years BP,44.5,-89.116944,1151,534454.635219339,897998.139891735,24,0,2,23,1,0,0,2,3,0,11,0,145,0,42,0,0,11
1448,Kellners Lake,40,211,NA,NA,Radiocarbon years BP,44.238056,-87.848056,1448,633325.771426097,862337.871520861,61,0,12,47,3,0,16,15,0,1,12,3,44,0,74,3,8,14
1524,Kitchner Lake,60,216,NA,NA,Radiocarbon years BP,45.666667,-87.455,1524,672949.509957926,1019436.6768787,13,3,5,92,0,43,7,2,0,4,5,13,71,2,31,1,25,6
1643,Little Pine Lake,110,147,NA,NA,Radiocarbon years BP,45.283333,-91.483333,1643,356204.519762,1001203.00791986,110,0,10,81,3,13,1,8,1,0,7,1,134,12,79,2,4,10
3483,Lake of the Clouds,18,150,NA,NA,Varve years BP,48,-91.116667,3483,414336.965069394,1299350.4480947,68,3,0,87,0,11,0,1,0,15,1,44,752,5,13,0,2,3
1840,Otto Mielke Lake,25.75,123,NA,NA,Radiocarbon years BP,45.933333,-89.625,1840,506876.123818467,1060139.45436709,13,0,7,60,0,7,0,1,0,2,3,7,181,2,11,0,10,0
2309,Ruby Lake,130,149,NA,NA,Radiocarbon years BP,45.283333,-91.458333,2309,358152.22691493,1001003.07517974,41,0,15,85,0,2,0,8,1,7,14,1,108,13,91,2,6,9
2375,Shagawa Lake,38,156,NA,NA,Radiocarbon years BP,47.916667,-91.866667,2375,357722.402042141,1295853.07177323,12,1,0,11,0,2,0,0,0,2,0,4,56,0,2,0,0,0
2586,Spirit Lake,14,148,NA,NA,Radiocarbon years BP,46.47,-86.958333,2586,715663.596791599,1106890.75250386,9,4,17,152,0,1,9,6,0,3,8,4,60,1,17,0,60,9
2624,Tamarack Creek,13,156,NA,NA,Radiocarbon years BP,44.15,-91.45,2624,345952.20752275,875441.466510828,35,1,1,1,2,0,0,0,1,85,0,1,90,0,26,0,0,1
3032,Wolverine Lake,5,199,NA,NA,Radiocarbon years BP,46.429167,-85.661111,3032,814916.936097577,1098559.14002839,85,5,13,115,1,2,18,1,0,1,4,22,185,0,20,1,25,5
3035,Wood Lake,40,154,NA,NA,Radiocarbon years BP,45.333333,-90.083333,3035,465839.290126148,996486.90656434,51,9,5,164,0,5,0,3,0,5,2,1,109,1,15,1,87,8
3131,Hell's Kitchen Lake,180,146,NA,NA,Radiocarbon years BP,46.183333,-89.7,3131,503320.187251428,1088350.3016923,11,3,4,90,0,15,1,4,0,6,3,3,119,3,16,0,62,4
3473,Lake Mary,0,200,NA,NA,Radiocarbon years BP,46.25,-89.9,3473,488570.756536589,1097003.30085841,13,1,4,92,0,0,0,2,0,0,3,3,178,0,17,0,45,2
13060,Adeline Lake,31.5,146,222,88,Calibrated radiocarbon years BP,46.30235,-91.166,13060,392090.017961711,1111623.90980303,36,1,4,137,0,1,0,4,0,0,4,2,215,7,43,0,13,6
13069,Elevenses Lake,26.5,174,293,85,Calibrated radiocarbon years BP,46.3815,-91.4935,13069,367932.922498393,1122918.95384117,7,1,2,28,0,1,0,1,1,0,0,4,108,0,9,0,4,3
13071,Eska Lake,23.5,179,300,83,Calibrated radiocarbon years BP,45.19145,-90.608,13071,423500.653024989,984376.704735822,45,2,11,114,1,0,0,1,3,0,4,4,125,9,18,3,144,5
13073,Fallison Lake,23.5,138,171,109,Calibrated radiocarbon years BP,45.9915,-89.62075,13073,507717.032464717,1066569.93619601,40,4,8,105,0,1,0,5,0,0,3,10,248,5,22,1,11,8
14443,Tower Lake,24,172,306,52,Calibrated radiocarbon years BP,46.542635,-86.037795,14443,786467.312931123,1112121.26841985,24,0,18,64,0,1,47,6,0,0,4,0,74.5,0,6,0,27,3
15032,Mud Lake,21,136,267,28,Calibrated radiocarbon years BP,47.129415,-88.3169877777778,15032,616273.445463919,1185852.88006616,19,8,5,70,0,0,0,1,1,0,0,18,169,0,7,0,15,5
15316,Trout Lake Bog,5,160,524,-20,Calibrated radiocarbon years BP,46.205,-85.0215,15316,863427.274612898,1072326.38602139,207,5,0,60,0,0,1,1,0,4,6,20,301,3,14,3,8,3
15492,Hicks Lake,27,142,264,38,Calibrated radiocarbon years BP,44.022755,-85.283325,15492,837112.832158633,829948.108209159,20,1,6,16,0,11,13,3,0,0,5,32,170,0,24,2,67,5
15660,Buck Lake,90,152,303,77,Calibrated radiocarbon years BP,46.520515,-86.35387,15660,762185.589125341,1110547.27199743,30,1,9,109,0,3,3,2,0,0,3,17,93,2,16,0,27,4
15682,Canyon Lake,17,159,395,13,Calibrated radiocarbon years BP,46.833333,-87.921389,15682,644273.759966366,1151127.39944288,7,3,13,80,0,5,0,1,0,0,4,2,122.5,1,20,0,75,8
15740,Hemlock Lake,25.5,170,212,139,Calibrated radiocarbon years BP,46.3073,-91.19829,15740,389673.231228143,1112417.10958905,64,3,13,129,0,5,0,2,0,0,12,3,254,0,30,1,8,0
15919,Crooked Lake,25,229,575,7,Calibrated radiocarbon years BP,46.24525,-89.29409,15919,535027.607643422,1092795.90634843,11,0,6,84,0,0,0,2,0,0,0,0,316,0,12,0,39,0
15922,Jay Lake,11.5,165,377,17,Calibrated radiocarbon years BP,46.23435,-89.28155,15922,535899.267002219,1091513.12959678,36,3.5,29,378,0,5,0,2,1,0,4,7.5,184.5,3,21,13,55.5,15
15925,Lake O' Pines,49.5,204,349,67,Calibrated radiocarbon years BP,46.140435,-89.2553,15925,537134.106781938,1080933.5334749,66,2.5,8.33,152,1,4,0,0,0,1,2,9,305.5,1,32,1,17.5,4
17387,Beaver Lake,30,236,NA,NA,Radiocarbon years BP,44.919595,-88.15694,17387,613359.974285349,939510.585123773,20,0,10,94,2,30,34,12,1,13,17,2,173,23,61,3,154,21
17404,Lorraine Lake,120,125,NA,NA,Radiocarbon years BP,46.144685,-86.48299,17404,750618.70196745,1069122.08637935,16,4,10,99,0,26,15,1,0,2,4,12,198,0,7,1,76,3
17406,Penegor Lake,15,158,NA,NA,Radiocarbon years BP,46.61506,-88.86036,17406,571203.154526436,1131454.95606632,16,6,19,134,0,4,0,3,0,0,2,3,89,0,18,3,35,10
